abandon v.   AAA/ə'bændən /   BBB bỏ, từ bỏ
fur n.   AAA/fə: /   BBB bộ da lông thú
furniture n.   AAA/'fə:nitʃə /   BBB đồ đạc 
future n., adj.   AAA/'fju:tʃə /   BBB tương lai
gain v., n.   AAA/geɪn /   BBB lợi, lợi ích; giành được, kiếm được, đạt tới
gallon n.   AAA/'gælən /   BBB galông 1gl = 4, 54 lít ở anh, 3, 78 lít ở mỹ
gamble v., n.   AAA/'gæmbl /   BBB đánh bạc; cuộc đánh bạc
gambling n.   AAA/'gæmbliɳ /   BBB trò cờ bạc
game n.   AAA/geim /   BBB trò chơi
gap n.   AAA/gæp /   BBB đèo, lỗ hổng, kẽ hở; chỗ trống
garage n.   AAA/´gæra:ʒ /   BBB nhà để ô tô
garbage n.   AAA/ˈgɑrbɪdʒ /   BBB lòng, ruột 
garden n.   AAA/'gɑ:dn /   BBB vườn
gas n.   AAA/gæs /   BBB khí, hơi đốt
gasoline n.   AAA/gasolin /   BBB dầu lửa, dầu hỏa, xăng
gate n.   AAA/geit /   BBB cổng
gather v.   AAA/'gæðə /   BBB tập hợp; hái, lượm, thu thập
gear n.   AAA/giə /   BBB cơ cấu, thiết bị, dụng cụ
general adj.   AAA/'ʤenər l /   BBB chung, chung chung; tổng
generally adv.   AAA/'dʒenərəli /   BBB nói chung, đại thể
generate v.   AAA/'dʒenəreit /   BBB sinh, đẻ ra
generation n.   AAA/ˌdʒɛnəˈreɪʃən /   BBB sự sinh ra, sự phát sinh ra; thế hệ, đời
generous adj.   AAA/´dʒenərəs /   BBB rộng lượng, khoan hồng, hào phóng
generously adv.   AAA/'dʒenərəsli /   BBB rộng lượng, hào phóng
gentle adj.   AAA/dʒentl /   BBB hiền lành, dịu dàng, nhẹ nhàng
gently adv.   AAA/'dʤentli /   BBB nhẹ nhàng, êm ái, dịu dàng
gentleman n.   AAA/ˈdʒɛntlmən /   BBB người quý phái, người thượng lưu
genuine adj.   AAA/´dʒenjuin /   BBB thành thật, chân thật; xác thực
genuinely adv.   AAA/´dʒenjuinli /   BBB thành thật, chân thật
geography n.   AAA/dʒi´ɔgrəfi /   BBB địa lý, khoa địa lý
get v.   AAA/get /   BBB được, có được
giant n., adj.   AAA/ˈdʒaiənt /   BBB người khổng lồ, người phi thường; khổng lồ, phi thường
gift n.   AAA/gift /   BBB quà tặng
girl n.   AAA/g3:l /   BBB con gái
girlfriend n.   AAA/'gз:lfrend /   BBB bạn gái, người yêu
give v.   AAA/giv /   BBB cho, biếu, tặng
glad adj.   AAA/glæd /   BBB vui lòng, sung sướng
glass n.   AAA/glɑ:s /   BBB kính, thủy tinh, cái cốc, ly
global adj. v   AAA/´gloubl /   BBB toàn cầu, toàn thể, toàn bộ
glove n.   AAA/glʌv /   BBB bao tay, găng tay
glue n., v.   AAA/glu: /   BBB keo, hồ; gắn lại, dán bằng keo, hồ
gram n.   AAA/'græm /   BBB đậu xanh
go v.   AAA/gou /   BBB đi
god n.   AAA/gɒd /   BBB thần, chúa
gold n., adj.   AAA/goʊld /   BBB vàng; bằng vàng
good adj., n.   AAA/gud /   BBB tốt, hay, tuyệt; điều tốt, điều thiện
goodbye exclamation, n.   AAA/¸gud´bai /   BBB tạm biệt; lời chào tạm biệt
goods n.   AAA/gudz /   BBB của cải, tài sản, hàng hóa
govern v.   AAA/´gʌvən /   BBB cai trị, thống trị, cầm quyền
government n.   AAA/ˈgʌvərnmənt , ˈgʌvərmənt /   BBB chính phủ, nội các; sự cai trị
governor n.   AAA/´gʌvənə /   BBB thủ lĩnh, chủ; kẻ thống trị
grab v.   AAA/græb /   BBB túm lấy, vồ, chộp lấy
grade n., v.   AAA/greɪd /   BBB điểm, điểm số; phân loại, xếp loại
gradual adj.   AAA/´grædjuəl /   BBB dần dần, từng bước một
gradually adv.   AAA/'grædzuәli /   BBB dần dần, từ từ
grain n.   AAA/grein /   BBB thóc lúa, hạt, hột; tính chất, bản chất
gram n.    AAA/'græm /   BBB ngữ pháp
grammar n.   AAA/ˈgræmər /   BBB văn phạm
grand adj.   AAA/grænd /   BBB rộng lớn, vĩ đại
grandchild n.   AAA/´græn¸tʃaild /   BBB cháu 
granddaughter n.   AAA/'græn,do:tз /   BBB cháu gái
grandfather n.   AAA/´græn¸fa:ðə /   BBB ông
grandmother n.   AAA/'græn,mʌðə /   BBB bà
grandparent n.   AAA/´græn¸pɛərənts /   BBB ông bà
grandson n.   AAA/´grænsʌn /   BBB cháu trai
grant v., n.   AAA/grα:nt /   BBB cho, ban, cấp; sự cho, sự ban, sự cấp
grass n.   AAA/grɑ:s /   BBB cỏ; bãi cỏ, đồng cỏ
grateful adj.   AAA/´greitful /   BBB biết ơn, dễ chịu, khoan khoái
grave n., adj.   AAA/greiv /   BBB mộ, dấu huyền; trang nghiêm, nghiêm trọng
great adj.   AAA/greɪt /   BBB to, lớn, vĩ đại
greatly adv.   AAA/´greitli /   BBB rất, lắm; cao thượng, cao cả
green adj., n.   AAA/grin /   BBB xanh lá cây
grocery n.   AAA/´grousəri /   BBB cửa hàng tạp phẩm
groceries n.   AAA/ˈgroʊsəri, ˈgroʊsri /   BBB hàng tạp hóa
ground n.   AAA/graund /   BBB mặt đất, đất, bãi đất
group n.   AAA/gru:p /   BBB nhóm
grow v.   AAA/grou /   BBB mọc, mọc lên
growth n.   AAA/grouθ /   BBB sự lớn lên, sự phát triển
guarantee n., v.   AAA/ˌgærənˈti /   BBB sự bảo hành, bảo lãnh, người bảo lãnh; cam đoan, bảo đảm
guard n., v.   AAA/ga:d /   BBB cái chắn, người bảo vệ; bảo vệ, gác, canh giữ
guess v., n.   AAA/ges /   BBB đoán, phỏng đoán; sự đoán, sự ước chừng
guest n.   AAA/gest /   BBB khách, khách mời
guide n., v.   AAA/gaɪd /   BBB điều chỉ dẫn, người hướng dẫn; dẫn đường, chỉ đường
guilty adj.   AAA/ˈgɪlti /   BBB có tội, phạm tội, tội lỗi
gun n.   AAA/gʌn /   BBB súng
guy n.   AAA/gai /   BBB bù nhìn, anh chàng, gã
habit n.   AAA/´hæbit /   BBB thói quen, tập quán
hair n.   AAA/heə /   BBB tóc
hairdresser n.   AAA/'heədresə /   BBB thợ làm tóc
half n., det., pron., adv.   AAA/hɑ:f /   BBB một nửa, phần chia đôi, nửa giờ; nửa
hall n.   AAA/hɔ:l /   BBB đại sảnh, tòa , hội trường
hammer n.   AAA/'hæmə /   BBB búa
hand n., v.   AAA/hænd /   BBB tay, bàn tay; trao tay, truyền cho
handle v., n.   AAA/'hændl /   BBB cầm, sờ mó; tay cầm, móc quai
hang v.   AAA/hæŋ /   BBB treo, mắc
happen v.   AAA/'hæpən /   BBB xảy ra, xảy đến
happiness n.   AAA/'hæpinis /   BBB sự sung sướng, hạnh phúc
unhappiness n.   AAA/ʌn´hæpinis /   BBB nỗi buồn, sự bất hạnh
happy adj.   AAA/ˈhæpi /   BBB vui sướng, hạnh phúc
happily adv.   AAA/'hæpili /   BBB sung sướng, hạnh phúc
unhappy adj.   AAA/ʌn´hæpi /   BBB buồn rầu, khốn khổ
hard adj., adv.   AAA/ha:d /   BBB cứng, rắn, hà khắc; hết sức cố gắng, tích cực
hardly adv.   AAA/´ha:dli /   BBB khắc nghiệt, nghiêm khắc, tàn tệ, khó khăn
harm n., v.   AAA/hɑ:m /   BBB thiệt hại, tổn hao; làm hại, gây thiệt hại
harmful adj.   AAA/´ha:mful /   BBB gây tai hại, có hại
harmless adj.   AAA/´ha:mlis /   BBB không có hại
hat n.   AAA/hæt /   BBB cái mũ
hate v., n.   AAA/heit /   BBB ghét; lòng căm ghét, thù hận
hatred n.   AAA/'heitrid /   BBB lòng căm thì, sự căm ghét
have v., auxiliary v.   AAA/hæv, həv /   BBB có
he pron.   AAA/hi: /   BBB nó, anh ấy, ông ấy 
head n., v.   AAA/hed /   BBB cái đầu ; chỉ huy, lãnh đại, dẫn đầu
headache n.   AAA/'hedeik /   BBB chứng nhức đầu
heal v.   AAA/hi:l /   BBB chữa khỏi, làm lành
health n.   AAA/hɛlθ /   BBB sức khỏe, thể chất, sự lành mạnh
healthy adj.   AAA/'helθi /   BBB khỏe mạnh, lành mạnh
hear v.   AAA/hiə /   BBB nghe
hearing n.   AAA/ˈhɪərɪŋ /   BBB sự nghe, thính giác
heart n.   AAA/hɑ:t /   BBB tim, trái tim
heat n., v.   AAA/hi:t /   BBB hơi nóng, sức nóng
heating n.   AAA/'hi:tiη /   BBB sự đốt nóng, sự làm nóng
heaven n.   AAA/ˈhɛvən /   BBB thiên đường
heavy adj.   AAA/'hevi /   BBB nặng, nặng nề
heavily adv.   AAA/´hevili /   BBB nặng, nặng nề
heel n.   AAA/hi:l /   BBB gót chân
height n.   AAA/hait /   BBB chiều cao, độ cao; đỉnh, điểm cao
hell n.   AAA/hel /   BBB địa ngục
hello exclamation, n.   AAA/hз'lou /   BBB chào, xin chào; lời chào
help v., n.   AAA/'help /   BBB giúp đỡ; sự giúp đỡ
helpful adj.   AAA/´helpful /   BBB có ích; giúp đỡ
hence adv.   AAA/hens /   BBB sau đây, kể từ đây; do đó, vì thế
her pron., det.   AAA/hз: /   BBB nó, chị ấy, cô ấy, bà ấy
hers pron.   AAA/hə:z /   BBB cái của nó, cái của cô ấy, cái của chị ấy, cái của bà ấy
here adv.   AAA/hiə /   BBB đây, ở đây
hero n.   AAA/'hiərou /   BBB người anh hùng
herself pron.   AAA/hə:´self /   BBB chính nó, chính cô ta, chính chị ta, chính bà ta
hesitate v.   AAA/'heziteit /   BBB ngập ngừng, do dự
hide v.   AAA/haid /   BBB trốn, ẩn nấp; che giấu
high adj., adv.   AAA/hai /   BBB cao, ở mức độ cao
highly adv.   AAA/´haili /   BBB tốt, cao; hết sức, ở mức độ cao
highlight v., n.   AAA/ˈhaɪˌlaɪt /   BBB làm nổi bật, nêu bật; chỗ nổi bật nhất, đẹp, sáng nhất
highway n.   AAA/´haiwei /   BBB đường quốc lộ
hill n.   AAA/hil /   BBB đồi
him pron.   AAA/him /   BBB nó, hắn, ông ấy, anh ấy
himself pron.   AAA/him´self /   BBB chính nó, chính hắn, chính ông ta, chính anh ta
hip n.   AAA/hip /   BBB hông
hire v., n.   AAA/haiə /   BBB thuê, cho thuê ; sự thuê, sự cho thuê
his det., pron.   AAA/hiz /   BBB của nó, của hắn, của ông ấy, của anh ấy; cái của nó, cái của hắn, cái của ông ấy, cái của anh ấy
historical adj.   AAA/his'tɔrikəl /   BBB lịch sử, thuộc lịch sử
history n.   AAA/´histəri /   BBB lịch sử, sử học
hit v., n.   AAA/hit /   BBB đánh, đấm, ném trúng; đòn, cú đấm
hobby n.   AAA/'hɒbi /   BBB sở thích riêng
hold v., n.   AAA/hould /   BBB cầm, nắm, giữ; sự cầm, sự nắm giữ
hole n.   AAA/'houl /   BBB lỗ, lỗ trống; hang
holiday n.   AAA/'hɔlədi /   BBB ngày lễ, ngày nghỉ
hollow adj.   AAA/'hɔlou /   BBB rỗng, trống rỗng
holy adj.   AAA/ˈhoʊli /   BBB linh thiêng; sùng đạo
home n., adv..   AAA/hoʊm /   BBB nhà; ở tại nhà, nước mình
homework n.   AAA/´houm¸wə:k /   BBB bài tập về nhà , công việc làm ở nhà
honest adj.   AAA/'ɔnist /   BBB lương thiện, trung thực, chân thật
honestly adv.   AAA/'ɔnistli /   BBB lương thiện, trung thực, chân thật
honour  n.   AAA/'onз /   BBB danh dự, thanh danh, lòng kính trọng
hook n.   AAA/huk /   BBB cái móc; bản lề; lưỡi câu
hope v., n.   AAA/houp /   BBB hy vọng; nguồn hy vọng
horizontal adj.   AAA/,hɔri'zɔntl /   BBB chân trời, ở chân trời; ngang, nằm ngang 
horn n.   AAA/hɔ:n /   BBB sừng 
horror n.   AAA/´hɔrə /   BBB điều kinh khủng, sự ghê rợn
horse n.   AAA/hɔrs /   BBB ngựa
hospital n.   AAA/'hɔspitl /   BBB bệnh viện, nhà thương
host n., v.   AAA/houst /   BBB chủ nhà, chủ tiệc; dẫn , đăng cai tổ chức 
hot adj.   AAA/hɒt /   BBB nóng, nóng bức
hotel n.   AAA/hou´tel /   BBB khách sạn
hour n.   AAA/'auз /   BBB giờ
house n.   AAA/haus /   BBB nhà, căn nhà, toàn nhà
housing n.   AAA/´hauziη /   BBB nơi ăn chốn ở
household n., adj.   AAA/´haushould /   BBB hộ, gia đình; gia đình
how adv.   AAA/hau /   BBB thế nào, như thế nào, làm sao, ra sao
however adv.   AAA/hau´evə /   BBB tuy nhiên, tuy vậy, dù thế nào
huge adj.   AAA/hjuːdʒ /   BBB to lớn, khổng lồ
human adj., n.   AAA/'hju:mən /   BBB con người, loài người
humorous adj.   AAA/´hju:mərəs /   BBB hài hước, hóm hỉnh
humour  n.   AAA/´hju:mə /   BBB sự hài hước, sự hóm hỉnh
hungry adj.   AAA/'hΔŋgri /   BBB đó
hunt v.   AAA/hʌnt /   BBB săn, đi săn
hunting n.   AAA/'hʌntiɳ /   BBB sự đi săn
hurry v., n.   AAA/ˈhɜri , ˈhʌri /   BBB sự vội vàng, sự gấp rút
hurt v.   AAA/hɜrt /   BBB làm bị thương, gây thiệt hại
husband n.   AAA/´hʌzbənd /   BBB người chồng
ice n.   AAA/ais /   BBB băng, nước đá
idea n.   AAA/ai'diз /   BBB ý tưởng, quan niệm
ideal adj., n.   AAA/aɪˈdiəl, aɪˈdil /   BBB quan niệm, tư tưởng; lý tưởng
ideally adv.   AAA/aɪˈdiəli /   BBB lý tưởng, đúng như lý tưởng
identify v.   AAA/ai'dentifai /   BBB nhận biết, nhận ra, nhận dạng
identity n.   AAA/aɪˈdɛntɪti /   BBB cá tính, nét nhận dạng; tính đồng nhất, giống hệt
if conj.   AAA/if /   BBB nếu, nếu như
ignore v.   AAA/ig'no:  /   BBB phớt lờ, tỏ ra không biết đến
ill adj.   AAA/il /   BBB ốm
illegal adj.   AAA/i´li:gl /   BBB trái luật, bất hợp pháp
illegally adv.   AAA/i´li:gəli /   BBB trái luật, bất hợp pháp
illness n.   AAA/´ilnis /   BBB sự đau yếu, ốm, bệnh tật
illustrate v.   AAA/´ilə¸streit /   BBB minh họa, làm rõ ý
image n.   AAA/´imidʒ /   BBB ảnh, hình ảnh
imaginary adj.   AAA/i´mædʒinəri /   BBB tưởng tượng, ảo
imagination n.   AAA/i,mædʤi'neiʃn /   BBB trí tưởng tượng, sự tưởng tượng
imagine v.   AAA/i'mæʤin /   BBB tưởng tượng, hình dung; tưởng rằng, cho rằng
immediate adj.   AAA/i'mi:djət /   BBB lập tức, tức thì
immediately adv.   AAA/i'mi:djətli /   BBB ngay lập tức
immoral adj.   AAA/i´mɔrəl /   BBB trái đạo đức, luân lý; xấu xa
impact n.   AAA/ˈɪmpækt /   BBB sự và chạm, sự tác động, ảnh hưởng
impatient adj.   AAA/im'peiʃən /   BBB thiếu kiên nhẫn, nóng vội
impatiently adv.   AAA/im'pei∫зns /   BBB nóng lòng, sốt ruột
implication n.   AAA/¸impli´keiʃən /   BBB sự lôi kéo, sự liên can, điều gợi ý
imply v.   AAA/im'plai /   BBB ngụ ý, bao hàm
importance n.   AAA/im'pɔ:təns /   BBB sự quan trọng, tầm quan trọng
important adj.   AAA/im'pɔ:tənt /   BBB quan trọng, hệ trọng
importantly adv.   AAA/im'pɔ:təntli /   BBB quan trọng, trọng yếu
unimportant adj.   AAA/¸ʌnim´pɔ:tənt /   BBB khônh quan trọng, không trọng đại
impose v.   AAA/im'pouz /   BBB đánh , bắt gánh vác; đánh tráo, lợi dụng
impossible adj.   AAA/im'pɔsəbl /   BBB không thể làm được, không thể xảy ra
impress v.   AAA/im'pres /   BBB ghi, khắc, in sâu vào; gây ấn tượng, làm cảm động
impression n.   AAA/ɪmˈprɛʃən /   BBB ấn tượng, cảm giác; sự in, đóng dấu
impressive adj.   AAA/im'presiv /   BBB gấy ấn tượng mạnh; hùng vĩ, oai vệ
improve v.   AAA/im'pru:v /   BBB cải thiện, cái tiến, mở mang
improvement n.   AAA/im'pru:vmənt /   BBB sự cái thiện, sự cải tiến, sự mở mang
in prep., adv.   AAA/in /   BBB ở, tại, trong; vào
inability n.   AAA/¸inə´biliti /   BBB sự bất lực, bất tài
inch n.   AAA/intʃ /   BBB insơ 
incident n.   AAA/´insidənt /   BBB việc xảy ra, việc có liên quan
include v.   AAA/in'klu:d /   BBB bao gồm, tính cả
including prep.   AAA/in´klu:diη /   BBB bao gồm, kể cả
income n.   AAA/'inkəm /   BBB lợi tức, thu nhập
increase v., n.   AAA/in'kri:s/or/'inkri:s /   BBB tăng, tăng thêm; sự tăng, sự tăng thêm
increasingly adv.   AAA/in´kri:siηli /   BBB tăng thêm
indeed adv.   AAA/ɪnˈdid /   BBB thật vậy, quả thật
independence n.   AAA/,indi'pendəns /   BBB sự độc lập, nền độc lập
independent adj.   AAA/,indi'pendənt /   BBB độc lập
independently adv.   AAA/,indi'pendзntli /   BBB độc lập
index n.   AAA/'indeks /   BBB chỉ số, sự biểu thị
indicate v.   AAA/´indikeit /   BBB chỉ, cho biết; biểu thị, trình bày ngắn gọn
indication n.   AAA/,indi'kei∫n /   BBB sự chỉ, sự biểu thị, sự biểu lộ
indirect adj.   AAA/¸indi´rekt /   BBB gián tiếp
indirectly adv.   AAA/,indi'rektli /   BBB gián tiếp
individual adj., n.   AAA/indivídʤuəl /   BBB riêng, riêng biệt; cá nhân
indoors adv.   AAA/¸in´dɔ:z /   BBB ở trong nhà
indoor adj.   AAA/´in¸dɔ: /   BBB trong nhà
industrial adj.   AAA/in´dʌstriəl /   BBB công nghiệp, kỹ nghệ
industry n.   AAA/'indəstri /   BBB công nghiệp, kỹ nghệ
inevitable adj.   AAA/in´evitəbl /   BBB không thể tránh được, chắc chắn xảy ra; vẫn thường thấy, nghe
inevitably adv.   AAA/in’evitəbli /   BBB chắc chắn
infect v.   AAA/in'fekt /   BBB nhiễm, tiêm nhiễm, đầu độc, lan truyền
infection n.   AAA/in'fekʃn /   BBB sự nhiễm, sự đầu độc
infectious adj.   AAA/in´fekʃəs /   BBB lây, nhiễm
influence n., v.   AAA/ˈɪnfluəns /   BBB sự ảnh hưởng, sự tác dụng; ảnh hưởng, tác động
inform v.   AAA/in'fo:m /   BBB báo cho biết, cung cấp tin tức
informal adj.   AAA/in´fɔ:məl /   BBB không chính thức, không nghi thức
information n.   AAA/,infə'meinʃn /   BBB tin tức, tài liệu, kiến thức
ingredient n.   AAA/in'gri:diәnt /   BBB phần hợp thành, thành phần
initial adj., n.   AAA/i'ni∫зl /   BBB ban đầu, lúc đầu; chữ đầu 
initially adv.   AAA/i´niʃəli /   BBB vào lúc ban đầu, ban đầu
initiative n.   AAA/ɪˈnɪʃiətɪv , ɪˈnɪʃətɪv /   BBB bước đầu, sự khởi đầu
injure v.   AAA/in'dӡә  /   BBB làm tổn thương, làm hại, xúc phạm
injured adj.   AAA/´indʒə:d /   BBB bị tổn thương, bị xúc phạm
injury n.   AAA/'indʤəri /   BBB sự làm tổn thương, làm hại; điều hại, điều tổn hại
ink n.   AAA/iηk /   BBB mực
inner adj.   AAA/'inə /   BBB ở trong, nội bộ; thân cận
innocent adj.   AAA/'inəsnt /   BBB vô tội, trong trắng, ngây thơ
insect n.   AAA/'insekt /   BBB sâu bọ, côn trùng
insert v.   AAA/'insə:t /   BBB chèn vào, lồng vào
inside prep., adv., n., adj.   AAA/'in'said /   BBB mặt trong, phía, phần trong; ở trong, nội bộ
insist v.   AAA/in'sist /   BBB cứ nhất định, cứ khăng khăng
install v.   AAA/in'stɔ:l /   BBB đặt 
instance n.   AAA/'instəns /   BBB thí dị, ví dụ; trường hợp cá biệt
instead adv.   AAA/in'sted /   BBB để thay thế
institute n.   AAA/ˈ´institju:t /   BBB viện, học viện
institution n.   AAA/Uk ,insti'tju:ʃn ; Us ,insti'tu:ʃn /   BBB sự thành lập, lập; cơ quan, trụ sở
instruction n.   AAA/ɪn'strʌkʃn /   BBB sự dạy, tài liệu cung cấp
instrument n.   AAA/'instrumənt /   BBB dụng cụ âm nhạc khí
insult v., n.   AAA/'insʌlt /   BBB lăng mạ, xỉ nhục; lời lăng mạ, sự xỉ nhục
insulting adj.   AAA/in´sʌltiη /   BBB lăng mạ, xỉ nhục
insurance n.   AAA/in'ʃuərəns /   BBB sự bảo hiểm
intelligence n.   AAA/in'telidʒəns /   BBB sự hiểu biết, trí thông minh
intelligent adj.   AAA/in,teli'dЗen∫зl /   BBB thông minh, sáng trí
intend v.   AAA/in'tend /   BBB ý định, có ý định
intended adj.   AAA/in´tendid /   BBB có ý định, có dụng ý
intention n.   AAA/in'tenʃn /   BBB ý định, mục đích
